Action,Campaign,Ad Group,Keyword,Criterion Type,Status,Max CPC,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Path 1,Path 2,Final URL
Add,AIM - Search - Lead Generation - Feb 2026,Pelvic Health - Women,"""postpartum physiotherapy edmonton""",Phrase match,Enabled,3.50,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,Pelvic Health - Women,"""pelvic floor physio edmonton""",Phrase match,Enabled,3.50,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,Pelvic Health - Women,"""incontinence treatment edmonton""",Phrase match,Enabled,3.75,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,Pelvic Health - Women,"""prenatal pelvic floor physiotherapy""",Phrase match,Enabled,3.25,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,Pelvic Health - Women,"""pelvic pain physiotherapy""",Phrase match,Enabled,3.75,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,Pelvic Health - Women,"""prolapse physiotherapy""",Phrase match,Enabled,3.25,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,Pelvic Health - Women,"""painful intercourse physiotherapy""",Phrase match,Enabled,3.25,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,Pelvic Health - Women,,,,,Pelvic Floor Therapy Edmonton,Postpartum Recovery Support,Private + Respectful Care,"Confidential pelvic floor physiotherapy for leakage, heaviness/pressure, and pelvic pain. Consent-based care in a private setting.","Book women’s pelvic health online or call (780) 250-8188.",pelvic-floor,women,https://aimphysiotherapy.ca/services/pelvic-health
Add,AIM - Search - Lead Generation - Feb 2026,Pelvic Health - Women,,,,,Postpartum Pelvic Floor Rehab,Regain Strength & Confidence,Book Online,"Support for postpartum recovery, return to exercise, and bladder control. Clear plan, practical exercises, real results.","Compassionate care. Insurance commonly covers physiotherapy.",postpartum,pelvic,https://aimphysiotherapy.ca/services/pelvic-health
Add,AIM - Search - Lead Generation - Feb 2026,Pelvic Health - Women,,,,,Leakage? You’re Not Alone,Discreet Pelvic Health Physio,Start With an Assessment,"Urinary leakage with coughing, running, or lifting can improve with the right plan. Get assessed and supported.","Private booking. Call (780) 250-8188 or book online.",incontinence,therapy,https://aimphysiotherapy.ca/services/pelvic-health
Add,AIM - Search - Lead Generation - Feb 2026,Pelvic Health - Men,,,Enabled,3.25,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,Pelvic Health - Men,[male pelvic floor therapy],Exact match,Enabled,3.25,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,Pelvic Health - Men,"""mens pelvic floor therapy""",Phrase match,Enabled,3.25,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,Pelvic Health - Men,"""post prostate surgery physiotherapy""",Phrase match,Enabled,3.50,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,Pelvic Health - Men,"""male incontinence treatment""",Phrase match,Enabled,3.50,,,,,,,,
Add,AIM - Search - Lead Generation - Feb 2026,Pelvic Health - Men,,,,,Men’s Pelvic Health Therapy,Post-Prostate Recovery Support,Discreet Care,"Specialized pelvic floor therapy for men: bladder control, pelvic pain, and post-surgical rehab with a clear plan.","Private, professional setting. Book online or call (780) 250-8188.",pelvic-health,men,https://aimphysiotherapy.ca/services/pelvic-health
Add,AIM - Search - Lead Generation - Feb 2026,Pelvic Health - Men,,,,,Post-Prostate Incontinence Help,Pelvic Floor Rehab for Men,Book Today,"Pelvic floor rehab can help improve bladder control after prostate surgery. Get guided exercises and progress tracking.","Discreet booking. Insurance commonly covers physiotherapy.",post-prostate,therapy,https://aimphysiotherapy.ca/services/pelvic-health
Add,AIM - Search - Lead Generation - Feb 2026,Pelvic Health - Men,,,,,Chronic Pelvic Pain Support,Men’s Pelvic Floor Physio,Respectful Care,"If pelvic pain or tension is affecting daily life, you’re not alone. Get assessed and treated with a practical plan.","Book online or call (780) 250-8188.",pelvic-pain,men,https://aimphysiotherapy.ca/services/pelvic-health
